CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2023-12-11,1,HỒ CHÍ MINH,2000,51686,6651096110
2023-09-14,1,HÀ NỘI,1500,18188,5569706149
2023-02-25,1,HÀ NỘI,1500,16692,5737799826
2023-05-18,1,HÀ NỘI,1500,18268,5479062156
2023-07-19,1,HÀ NỘI,1500,18182,5465434295
2023-09-12,1,HỒ CHÍ MINH,1500,4785,1361113124
2023-07-25,1,HÀ NỘI,1009,100,7038651
2023-11-27,0,HỒ CHÍ MINH,1009,115,9889317
2023-02-28,1,HỒ CHÍ MINH,1009,110,12736494
2022-11-23,0,HỒ CHÍ MINH,1009,162,10713040
2023-12-05,0,HÀ NỘI,1009,42,2298270
2023-05-18,1,HÀ NỘI,1009,73,9720300
2023-03-17,1,HỒ CHÍ MINH,1009,64,5348550
2023-12-14,0,HÀ NỘI,1009,80,13300655
2023-12-13,1,HÀ NỘI,1009,41,3293200
2023-10-08,0,HỒ CHÍ MINH,2000,89891,9496673626
2023-02-13,1,HÀ NỘI,1009,66,4047780
2023-08-09,0,HỒ CHÍ MINH,2000,77272,7522320813
2023-05-03,1,HỒ CHÍ MINH,2000,29899,4475799283
2024-03-21,1,HÀ NỘI,2000,75354,8990918431
2022-09-14,1,HỒ CHÍ MINH,1009,33,6138400
2022-09-19,0,HÀ NỘI,1009,35,2907400
2023-10-01,1,HÀ NỘI,2000,98488,12964378128
2022-11-07,1,HỒ CHÍ MINH,1009,59,4658490
2023-02-22,1,HỒ CHÍ MINH,1500,4348,1027839244
2023-04-08,0,HÀ NỘI,1009,72,6032450
2023-03-30,1,HỒ CHÍ MINH,1500,4181,1198082425
2023-12-25,0,HỒ CHÍ MINH,1009,87,3041955
2023-03-06,0,HÀ NỘI,2000,140247,13322358638
2024-01-20,0,HỒ CHÍ MINH,1500,10485,2626829492
2022-11-10,0,HÀ NỘI,2000,194136,21128116575
2024-02-02,0,HỒ CHÍ MINH,1009,58,2609809
2023-05-13,0,HỒ CHÍ MINH,2000,91098,9412758421
2023-03-31,1,HỒ CHÍ MINH,1500,4276,1148756924
2022-01-06,0,HỒ CHÍ MINH,1500,10074,3310667384
2023-09-20,0,HỒ CHÍ MINH,2000,72941,6891808903
2024-04-07,0,HỒ CHÍ MINH,1500,11030,2949132452
2023-03-13,1,HỒ CHÍ MINH,1500,4775,1283162151
2024-03-16,0,HỒ CHÍ MINH,1500,11503,2735672167
2023-07-03,1,HÀ NỘI,1009,100,6880000
2023-03-19,0,HÀ NỘI,1009,76,5136550
2022-09-12,1,HÀ NỘI,2000,6618,986786974
2023-04-29,0,HỒ CHÍ MINH,1009,223,11261841
2023-02-16,1,HỒ CHÍ MINH,1009,89,8702390
2022-10-20,1,HỒ CHÍ MINH,2000,2610,435936420
2023-07-10,0,HỒ CHÍ MINH,1009,91,4280540
2023-03-08,1,HÀ NỘI,1009,45,4089000
2023-02-23,0,HÀ NỘI,1009,65,3574175
2023-06-16,0,HÀ NỘI,2000,135067,14120328700
2023-03-10,0,HÀ NỘI,1009,94,6292000
2023-06-02,0,HỒ CHÍ MINH,1009,148,8937034
2023-08-09,1,HỒ CHÍ MINH,1500,5242,1507096511
2023-04-29,1,HỒ CHÍ MINH,2000,26967,4781854106
2022-12-20,0,HÀ NỘI,2000,180318,19865407625
2023-11-28,0,HỒ CHÍ MINH,2000,68966,6188895634
2023-09-29,0,HỒ CHÍ MINH,2000,79532,7098608304
2023-07-07,0,HÀ NỘI,1009,50,2392400
2022-01-14,0,HỒ CHÍ MINH,2000,90612,12687299555
2023-06-06,1,HỒ CHÍ MINH,2000,30810,4836398853
2023-09-03,0,HÀ NỘI,2000,121528,10617481085
2023-09-30,0,HÀ NỘI,2000,124132,11265211497
2022-03-30,0,HÀ NỘI,2000,178279,20430993090
2023-06-25,0,HÀ NỘI,2000,120246,11578190025
2022-11-01,0,HÀ NỘI,2000,197082,19352631952
2023-10-06,0,HỒ CHÍ MINH,2000,65298,7291802442
2023-08-19,0,HÀ NỘI,2000,119211,12136739169
2023-03-20,0,HÀ NỘI,2000,139265,13572622569
2023-04-12,1,HỒ CHÍ MINH,1500,5379,1371215206
2024-03-02,1,HÀ NỘI,2000,81073,10665825680
2023-01-10,0,HÀ NỘI,1500,27504,11365548232
2022-11-15,0,HỒ CHÍ MINH,1500,13189,3116863695
2023-05-03,0,HỒ CHÍ MINH,1009,194,11125575
2022-10-12,0,HỒ CHÍ MINH,1500,13723,3390384125
2022-11-01,1,HỒ CHÍ MINH,2000,5857,1032101126
2023-12-08,1,HỒ CHÍ MINH,2000,45469,5774858721
2023-09-29,1,HỒ CHÍ MINH,2000,39301,5547228276
2024-03-14,1,HÀ NỘI,1500,18988,4701328174
2022-10-22,1,HÀ NỘI,2000,5888,945272407
2023-05-25,1,HỒ CHÍ MINH,2000,28019,4099107882
2024-03-18,1,HỒ CHÍ MINH,1500,4500,1276417112
2023-09-18,1,HỒ CHÍ MINH,1500,5609,1600532457
2024-02-19,1,HỒ CHÍ MINH,1500,4823,1386621637
2023-01-23,0,HỒ CHÍ MINH,2000,347,47652571
2024-03-20,1,HỒ CHÍ MINH,1500,4294,1229815461
2022-10-28,0,HỒ CHÍ MINH,1009,113,7960840
2023-10-02,1,HỒ CHÍ MINH,1500,5740,1554037984
2023-01-21,1,HỒ CHÍ MINH,1500,661,260295297
2023-08-18,0,HỒ CHÍ MINH,1009,120,5390984
2024-01-26,1,HỒ CHÍ MINH,1009,130,10617057
2023-08-20,1,HỒ CHÍ MINH,1009,190,24163780
2022-12-06,1,HỒ CHÍ MINH,1009,102,6424730
2023-08-16,1,HÀ NỘI,1009,107,12459090
2022-12-17,0,HÀ NỘI,1009,61,5162480
2023-04-15,1,HỒ CHÍ MINH,1009,89,9783971
2022-11-29,0,HỒ CHÍ MINH,1009,150,7557940
2023-05-23,0,HỒ CHÍ MINH,1009,51,1848050
2022-09-28,1,HỒ CHÍ MINH,1009,37,4689880
2023-09-03,0,HÀ NỘI,1009,39,2089950
2023-01-07,0,HÀ NỘI,2000,148942,15239929381
2024-03-19,0,HỒ CHÍ MINH,2000,62004,5566015307
2023-09-28,0,HỒ CHÍ MINH,1009,180,9885357
2024-01-18,1,HỒ CHÍ MINH,1500,4983,2233585912
2023-02-04,0,HỒ CHÍ MINH,2000,95987,10673945684
2022-09-24,0,HỒ CHÍ MINH,1009,157,10371660
2023-11-05,0,HÀ NỘI,1500,27676,6219179407
2022-12-14,0,HỒ CHÍ MINH,1500,12971,3083299567
2024-01-23,1,HỒ CHÍ MINH,1009,110,9356999
2023-11-05,1,HỒ CHÍ MINH,1500,8535,2996237181
2022-08-02,0,HÀ NỘI,1500,44119,10930693759
2022-06-03,0,HỒ CHÍ MINH,1500,14267,3700488728
2023-07-05,1,HỒ CHÍ MINH,2000,28059,4074008305
2023-09-14,1,HỒ CHÍ MINH,2000,34266,4707888360
2022-12-07,0,HÀ NỘI,1500,41856,10620514371
2022-06-17,0,HÀ NỘI,2000,223714,26081400417
2023-08-14,1,HỒ CHÍ MINH,1500,5215,1553648711
2023-11-08,0,HỒ CHÍ MINH,2000,71037,7937409406
2023-04-17,1,HÀ NỘI,1009,52,5954400
2023-01-28,1,HÀ NỘI,1009,31,1802250
2023-05-16,1,HỒ CHÍ MINH,1009,127,18567600
2023-04-14,0,HỒ CHÍ MINH,2000,82406,8896539572
2023-04-20,1,HÀ NỘI,2000,65950,8189348783
2022-06-30,0,HÀ NỘI,1500,42539,11419412045
2023-08-12,0,HÀ NỘI,1500,33886,9115149320
2022-10-19,0,HÀ NỘI,1500,39655,9571607347
2023-05-05,0,HỒ CHÍ MINH,2000,81011,9072437146
2024-04-07,1,HỒ CHÍ MINH,2000,50141,7149287501
2023-04-30,0,HÀ NỘI,2000,128582,13196628691
2022-07-24,0,HÀ NỘI,2000,218052,24590144946
2022-11-17,0,HỒ CHÍ MINH,1500,14640,3473336081
2022-03-19,0,HỒ CHÍ MINH,2000,113344,14881996359
2023-05-26,0,HÀ NỘI,2000,141838,12282128035
2023-05-10,0,HÀ NỘI,2000,132325,12325641958
2022-06-07,0,HỒ CHÍ MINH,1500,13362,3316330697
2022-09-08,0,HÀ NỘI,2000,184312,21488061991
2023-04-03,0,HỒ CHÍ MINH,2000,82116,9710739693
2022-09-04,0,HỒ CHÍ MINH,1500,16793,5015432134
2023-02-05,0,HÀ NỘI,2000,166737,17058163134
2023-02-15,0,HÀ NỘI,1500,29030,6585712277
