CALDAY,IS_MBS,CITY,BUSINESS_UNIT,MCH5_NAME,VALUE_TRANSACTIONS_MCH5,VALUE_SALE_AMOUNT_MCH5
2023-06-02,0,HỒ CHÍ MINH,2000,Gà nội địa,1637,108640568
2023-11-22,1,HÀ NỘI,2000,Gà nội địa,7493,417598485
2024-03-15,1,HÀ NỘI,2000,Gà nội địa,6645,395512118
2023-11-01,1,HÀ NỘI,1500,Gà nội địa,2499,167349042
2024-02-15,1,HÀ NỘI,2000,Gà nội địa,4387,260790115
2022-10-30,0,HỒ CHÍ MINH,1500,Gà nội địa,1079,88863381
2024-04-03,1,HÀ NỘI,1500,Gà nội địa,2550,173810601
2023-03-08,0,HÀ NỘI,1500,Gà nội địa,1477,107425379
2022-10-24,0,HÀ NỘI,2000,Gà nội địa,6517,416590393
2022-10-04,0,HÀ NỘI,1500,Gà nội địa,3379,228288754
2022-10-17,1,HỒ CHÍ MINH,2000,Gà nội địa,199,12487417
2023-01-29,1,HÀ NỘI,1500,Gà nội địa,1306,85471691
2022-11-26,0,HÀ NỘI,2000,Gà nội địa,5878,402392699
2023-11-18,0,HỒ CHÍ MINH,2000,Gà nội địa,884,56422384
2022-02-04,0,HÀ NỘI,2000,Gà nội địa,1457,96139500
2023-03-08,1,HỒ CHÍ MINH,1500,Gà nội địa,276,19420067
2023-05-16,0,HỒ CHÍ MINH,1500,Gà nội địa,325,26555989
2023-05-30,0,HÀ NỘI,2000,Gà nội địa,673,44139437
2024-03-05,1,HÀ NỘI,1500,Gà nội địa,2407,167461955
2022-02-06,0,HỒ CHÍ MINH,1500,Gà nội địa,562,47987465
2023-04-15,1,HỒ CHÍ MINH,1500,Gà nội địa,507,42358354
2024-02-09,0,HỒ CHÍ MINH,1500,Gà nội địa,104,6960378
2024-01-17,1,HỒ CHÍ MINH,1500,Gà nội địa,485,39960542
2023-04-22,1,HỒ CHÍ MINH,2000,Gà nội địa,2003,133757450
2023-03-24,0,HÀ NỘI,2000,Gà nội địa,675,46338790
2024-04-17,1,HỒ CHÍ MINH,1500,Gà nội địa,454,36876915
2024-01-15,0,HỒ CHÍ MINH,1500,Gà nội địa,301,23946602
2022-09-17,0,HỒ CHÍ MINH,1500,Gà nội địa,1052,86703494
2023-09-20,0,HÀ NỘI,2000,Gà nội địa,388,24472854
2023-12-04,1,HỒ CHÍ MINH,1500,Gà nội địa,543,41711085
2023-08-17,1,HÀ NỘI,2000,Gà nội địa,7489,413892152
2023-06-18,1,HỒ CHÍ MINH,2000,Gà nội địa,2342,162941187
2023-08-22,1,HỒ CHÍ MINH,2000,Gà nội địa,2645,171483931
2023-11-24,0,HỒ CHÍ MINH,1500,Gà nội địa,289,32375882
